uni_id,name_ar,name_en,country,city,type,website,accreditation_notes
qa_qu,جامعة قطر,Qatar University,Qatar,Doha,Public,
qa_udst,جامعة الدوحة للعلوم والتكنولوجيا,University of Doha for Science and Technology,Qatar,Doha,Public,
sa_ksu,جامعة الملك سعود,King Saud University,Saudi Arabia,Riyadh,Public,
sa_kau,جامعة الملك عبدالعزيز,King Abdulaziz University,Saudi Arabia,Jeddah,Public,
ae_uaeu,جامعة الإمارات العربية المتحدة,United Arab Emirates University,UAE,Al Ain,Public,
ae_khalifa,جامعة خليفة,Khalifa University,UAE,Abu Dhabi,Public,
kw_ku,جامعة الكويت,Kuwait University,Kuwait,Kuwait City,Public,
bh_uob,جامعة البحرين,University of Bahrain,Bahrain,Sakhir,Public,
om_squ,جامعة السلطان قابوس,Sultan Qaboos University,Oman,Muscat,Public,
